Serie;;X;Y;Center X;Center Y;;;;
8;73;141.534;164.943;131.073;127.465;;;;
8;74;142.817;169.753;131.073;127.465;;;;
8;75;143.138;174.242;131.073;127.465;;;;
8;76;149.872;171.036;131.073;127.465;;;;
8;77;145.703;167.188;131.073;127.465;;;;
8;78;156.926;169.432;131.073;127.465;;;;
8;79;158.209;163.019;131.073;127.465;;;;
8;80;168.150;166.546;131.073;127.465;;;;
8;81;158.530;157.568;131.073;127.465;;;;
8;82;174.563;147.306;131.073;127.465;;;;
8;83;152.437;161.416;131.073;127.465;;;;
8;84;152.758;148.910;131.073;127.465;;;;
8;85;162.378;147.306;131.073;127.465;;;;
8;86;168.150;151.796;131.073;127.465;;;;
8;87;165.905;140.252;131.073;127.465;;;;
8;88;157.247;139.931;131.073;127.465;;;;
8;89;173.280;132.235;131.073;127.465;;;;
8;90;173.280;127.425;131.073;127.465;;;;
8;91;166.546;130.952;131.073;127.465;;;;
8;92;186.428;127.104;131.073;127.465;;;;
8;93;166.546;122.615;131.073;127.465;;;;
8;94;164.622;113.636;131.073;127.465;;;;
8;95;160.774;105.620;131.073;127.465;;;;
8;96;157.888;112.354;131.073;127.465;;;;
8;97;155.964;104.337;131.073;127.465;;;;
8;98;150.834;101.130;131.073;127.465;;;;
8;99;151.154;109.468;131.073;127.465;;;;
8;100;140.572;108.185;131.073;127.465;;;;
8;101;144.100;118.446;131.073;127.465;;;;
8;102;142.817;126.463;131.073;127.465;;;;
8;103;154.040;95.038;131.073;127.465;;;;
8;104;166.226;93.755;131.073;127.465;;;;
8;105;155.002;82.852;131.073;127.465;;;;
8;106;143.458;86.380;131.073;127.465;;;;
8;107;182.580;92.152;131.073;127.465;;;;
8;108;189.955;117.164;131.073;127.465;;;;
8;109;156.926;71.308;131.073;127.465;;;;
8;110;112.354;57.520;131.073;127.465;;;;
8;111;101.772;75.156;131.073;127.465;;;;
8;112;94.396;74.836;131.073;127.465;;;;
8;113;87.662;80.928;131.073;127.465;;;;
8;114;88.624;86.059;131.073;127.465;;;;
8;115;87.021;164.943;131.073;127.465;;;;
8;116;76.118;161.095;131.073;127.465;;;;
8;117;128.066;180.656;131.073;127.465;;;;
8;118;145.703;188.993;131.073;127.465;;;;
8;119;155.964;184.824;131.073;127.465;;;;
8;120;159.171;182.259;131.073;127.465;;;;
8;121;164.302;178.732;131.073;127.465;;;;
8;122;172.318;178.732;131.073;127.465;;;;
8;123;176.166;166.867;131.073;127.465;;;;
8;124;183.862;171.356;131.073;127.465;;;;
8;125;106.582;172.960;131.073;127.465;;;;
8;126;97.603;171.677;131.073;127.465;;;;
8;127;90.548;171.998;131.073;127.465;;;;
8;128;129.670;111.071;131.073;127.465;;;;
8;129;181.938;141.214;131.073;127.465;;;;
8;130;186.748;133.838;131.073;127.465;;;;
